",""IE_4_5.1"",""IE_4_5.2"",""IE_4_5.3"",""IE_4_5.4"",""IE_4_5.5"",""IE_4_5.6"",""IE_4_5.7"",""IE_4_5.8"",""IE_4_5.9"",""IE_4_5.10"",""IE_4_5.11"",""IE_4_5.12"",""IE_4_5.13"",""IE_4_5.14"",""IE_4_5.15"",""IE_4_5.16"",""IE_4_5.17"""
JUN 2009,3564889,1174465,49.13,35.68,50.25,54.04,50.32,55.33,65.31,44.47,1274698,-10.19,8.45,27.70,91.55,1259821,-8.76
JUL 2009,3544095,1117179,46.03,41.72,46.38,53.26,46.18,50.65,55.78,42.21,1403023,-13.74,7.92,29.98,92.08,1382787,-12.47
AGO 2009,3629080,1099079,43.44,46.17,43.24,50.71,43.03,46.71,46.87,40.94,944823,-10.01,7.27,26.95,92.73,963096,-6.49
SEP 2009,3709447,1084079,41.29,45.31,40.98,48.24,40.78,43.33,41.82,39.87,1354836,-9.77,9.48,30.88,90.52,1398208,-7.31
OCT 2009,3808353,990327,35.14,43.59,34.50,49.37,34.08,36.62,32.84,33.92,1357868,-14.32,9.32,32.90,90.68,1380019,-12.09
NOV 2009,3868946,879677,29.43,46.20,28.22,44.40,27.76,29.14,24.50,28.55,1204027,3.56,8.92,29.75,91.08,1188826,4.78
DIC 2009,3923603,794640,25.40,49.04,23.85,39.63,23.43,23.07,18.90,25.18,1137565,1.79,7.54,28.34,92.46,1105689,1.15
ENE 2010,4048493,720692,21.66,53.79,19.71,32.21,19.38,16.94,16.31,21.01,1050233,-6.71,9.01,25.01,90.99,1030453,-7.31
FEB 2010,4130625,648766,18.63,50.94,16.63,32.01,16.21,11.57,13.01,18.42,1028222,1.14,9.84,26.74,90.16,1023978,2.50
MAR 2010,4166613,561211,15.57,44.26,13.66,28.77,13.23,7.57,10.26,15.60,1189327,12.08,9.92,28.08,90.08,1177654,12.48
ABR 2010,4142425,497545,13.65,39.97,11.83,30.75,11.28,4.45,7.35,14.28,1078509,4.57,9.55,28.66,90.45,1069488,3.71
MAY 2010,4066202,446063,12.32,36.05,10.59,32.56,9.97,2.68,6.85,12.78,1182100,6.49,9.16,28.97,90.84,1197742,7.88
JUN 2010,3982368,417479,11.71,35.28,9.95,30.59,9.34,1.76,6.31,12.18,1297611,1.80,7.61,29.42,92.39,1244376,-1.23
JUL 2010,3908578,364483,10.28,32.27,8.58,28.58,7.99,0.50,5.04,10.75,1397265,-0.41,6.86,31.51,93.14,1386439,0.26
AGO 2010,3969661,340581,9.38,30.11,7.78,27.29,7.22,0.03,3.94,10.03,1010216,6.92,6.62,28.59,93.38,1020630,5.97
SEP 2010,4017763,308316,8.31,26.29,6.86,23.09,6.39,-0.72,2.75,9.22,1390283,2.62,8.78,31.88,91.22,1441850,3.12
OCT 2010,4085976,277623,7.29,23.85,5.94,22.36,5.42,-1.40,1.11,8.35,1346087,-0.87,8.80,33.12,91.20,1295279,-6.14
NOV 2010,4110294,241348,6.24,24.09,4.77,21.47,4.24,-2.39,-0.37,7.21,1257479,4.44,8.60,30.86,91.40,1242570,4.52
DIC 2010,4100073,176470,4.50,24.74,2.91,19.50,2.41,-3.37,-3.67,5.84,1189818,4.59,7.83,28.24,92.17,1165187,5.38
ENE 2011,4231003,182510,4.51,25.48,2.88,21.01,2.35,-3.43,-3.86,5.71,1116019,6.26,9.21,26.03,90.79,1115923,8.29
FEB 2011,4299263,168638,4.08,23.98,2.49,21.28,1.91,-3.70,-4.73,5.36,1011418,-1.63,9.33,28.08,90.67,1004337,-1.92
MAR 2011,4333669,167056,4.01,20.81,2.59,18.85,2.07,-3.94,-4.39,5.53,1154903,-2.89,9.62,29.94,90.38,1148103,-2.51
ABR 2011,4269360,126935,3.06,16.30,1.92,13.20,1.53,-3.61,-2.83,4.08,1067046,-1.06,9.02,31.13,90.98,1083201,1.28
MAY 2011,4189659,123457,3.04,12.45,2.19,10.50,1.91,-3.51,-2.95,4.67,1288914,9.04,8.00,30.28,92.00,1305772,9.02
JUN 2011,4121801,139433,3.50,9.30,2.97,13.69,2.59,-2.71,-1.67,5.11,1312519,1.15,7.23,31.54,92.77,1304280,4.81
JUL 2011,4079742,171164,4.38,8.80,3.96,15.48,3.55,-1.79,-0.20,5.91,1349286,-3.43,6.66,33.44,93.34,1345667,-2.94
AGO 2011,4130927,161266,4.06,7.17,3.77,14.71,3.40,-1.71,-0.63,5.79,1061303,5.06,6.23,30.37,93.77,1075192,5.35
SEP 2011,4226744,208981,5.20,8.88,4.85,17.03,4.45,-0.06,0.67,6.56,1393728,0.25,7.51,33.30,92.49,1473178,2.17
OCT 2011,4360926,274950,6.73,8.72,6.54,17.45,6.14,2.02,2.97,7.95,1294801,-3.81,7.51,35.30,92.49,1333036,2.91
NOV 2011,4420462,310168,7.55,7.28,7.57,13.39,7.36,3.09,3.88,9.27,1217830,-3.15,6.89,31.05,93.11,1206461,-2.91
DIC 2011,4422359,322286,7.86,6.13,8.03,15.08,7.78,3.63,3.04,10.14,1165465,-2.05,5.64,27.79,94.36,1165367,0.02
ENE 2012,4599829,368826,8.72,5.18,9.05,17.91,8.75,4.94,4.47,10.82,1042194,-6.62,7.52,29.46,92.48,1053520,-5.59
FEB 2012,4712098,412835,9.60,5.50,10.00,18.68,9.68,6.23,6.18,11.43,989988,-2.12,9.74,31.41,90.26,970076,-3.41
MAR 2012,4750867,417198,9.63,5.57,10.03,17.37,9.75,6.86,6.27,11.38,1054717,-8.67,11.14,33.03,88.86,1036235,-9.74
ABR 2012,4744235,474875,11.12,7.95,11.44,18.38,11.18,8.10,6.46,13.24,1038612,-2.66,11.10,34.21,88.90,1022589,-5.60
MAY 2012,4714122,524463,12.52,9.96,12.77,17.70,12.59,9.77,7.79,14.60,1247101,-3.24,10.14,33.77,89.86,1221377,-6.46
JUN 2012,4615269,493468,11.97,7.29,12.43,15.09,12.33,10.19,7.09,14.34,1386339,5.62,12.13,37.42,87.87,1282475,-1.67
JUL 2012,4587455,507713,12.44,4.51,13.23,16.67,13.09,10.53,5.87,15.79,1526758,13.15,15.09,39.22,84.91,1357171,0.85
AGO 2012,4625634,494707,11.98,2.28,12.91,17.79,12.72,9.77,4.71,15.74,1043794,-1.65,7.13,34.43,92.87,1035366,-3.70
SEP 2012,4705279,478535,11.32,-0.91,12.54,17.03,12.37,8.72,3.41,15.71,1274043,-8.59,9.24,37.34,90.76,1350738,-8.31
OCT 2012,4833521,472595,10.84,-2.05,12.09,20.12,11.77,7.75,0.99,15.66,1427173,10.22,9.15,38.08,90.85,1468787,10.18
NOV 2012,4907817,487355,11.02,-2.33,12.32,25.97,11.79,7.96,-0.09,15.92,1151771,-5.42,8.70,34.81,91.30,1152797,-4.45
DIC 2012,4848723,426364,9.64,-2.64,10.79,28.72,10.12,6.59,-2.59,14.58,1058501,-9.18,7.31,32.42,92.69,1070972,-8.10
ENE 2013,4980778,380949,8.28,-5.35,9.53,33.46,8.63,5.00,-4.16,13.02,1101819,5.72,9.13,31.98,90.87,1112014,5.55
FEB 2013,5040222,328124,6.96,-6.93,8.26,29.18,7.43,3.28,-5.85,12.05,949844,-4.05,9.64,33.86,90.36,961879,-0.84
MAR 2013,5035243,284376,5.99,-8.26,7.34,27.42,6.53,2.63,-6.04,10.89,969627,-8.07,10.11,35.80,89.89,988567,-4.60
ABR 2013,4989193,244958,5.16,-7.89,6.42,23.56,5.73,1.42,-8.19,10.56,1153140,11.03,8.53,34.86,91.47,1184311,15.81
MAY 2013,4890928,176806,3.75,-7.55,4.84,23.01,4.13,0.40,-9.09,8.61,1283261,2.90,7.47,35.49,92.53,1309635,7.23
JUN 2013,4763680,148411,3.22,-4.47,3.93,23.02,3.17,-0.24,-9.47,7.41,1277255,-7.87,6.84,36.57,93.16,1293092,0.83
JUL 2013,4698814,111359,2.43,-1.25,2.76,19.86,2.07,-0.97,-9.99,5.99,1507341,-1.27,6.39,37.94,93.61,1510709,11.31
AGO 2013,4698783,73149,1.58,-0.52,1.76,19.51,1.06,-1.59,-10.64,4.76,1043166,-0.06,5.99,35.52,94.01,1072558,3.59
SEP 2013,4724355,19076,0.41,0.65,0.38,12.62,-0.09,-2.73,-11.72,3.45,1392429,9.29,7.69,37.38,92.31,1482278,9.74
OCT 2013,4811383,-22138,-0.46,1.11,-0.59,10.46,-1.07,-3.93,-12.66,2.37,1582400,10.88,7.55,37.40,92.45,1627346,10.80
NOV 2013,4808908,-98909,-2.02,0.56,-2.23,9.42,-2.75,-5.55,-13.99,0.53,1241479,7.79,7.57,34.91,92.43,1252445,8.64
DIC 2013,4701338,-147385,-3.04,-0.17,-3.28,6.49,-3.70,-6.28,-13.65,-0.73,1290853,21.95,6.49,32.03,93.51,1291962,20.63
ENE 2014,4814435,-166343,-3.34,2.26,-3.78,2.46,-4.07,-6.95,-14.50,-1.01,1259240,14.29,7.81,30.86,92.19,1271266,14.32
FEB 2014,4812486,-227736,-4.52,1.21,-4.98,2.33,-5.32,-8.11,-15.46,-2.38,1090879,14.85,8.97,33.38,91.03,1101383,14.50
MAR 2014,4795866,-239377,-4.75,2.27,-5.33,7.66,-5.95,-9.39,-17.37,-2.56,1216637,25.47,9.33,33.51,90.67,1237848,25.22
ABR 2014,4684301,-304892,-6.11,0.96,-6.70,8.83,-7.43,-10.12,-16.80,-4.71,1296529,12.43,9.46,35.66,90.54,1328300,12.16
MAY 2014,4572385,-318543,-6.51,1.16,-7.16,9.51,-7.93,-11.29,-18.00,-4.93,1458577,13.66,7.95,35.53,92.05,1490368,13.80
JUN 2014,4449701,-313979,-6.59,0.53,-7.20,11.05,-8.07,-11.97,-18.56,-4.86,1518873,18.92,7.26,36.75,92.74,1529301,18.27
JUL 2014,4419860,-278954,-5.94,1.69,-6.60,11.86,-7.49,-11.96,-18.65,-4.07,1645236,9.15,6.93,38.23,93.07,1647693,9.07
AGO 2014,4427930,-270853,-5.76,2.57,-6.47,9.57,-7.23,-11.43,-18.29,-3.90,1135109,8.81,6.43,35.47,93.57,1162294,8.37
SEP 2014,4447650,-276705,-5.86,2.42,-6.58,9.98,-7.30,-11.53,-17.98,-4.18,1634444,17.38,8.48,36.95,91.52,1729631,16.69
OCT 2014,4526804,-284579,-5.91,1.48,-6.56,9.38,-7.33,-11.33,-18.05,-4.34,1702152,7.57,8.75,38.22,91.25,1741578,7.02
NOV 2014,4512116,-296792,-6.17,1.07,-6.80,2.97,-7.29,-11.62,-17.94,-4.31,1385351,11.59,8.49,34.37,91.51,1396605,11.51
DIC 2014,4447711,-253627,-5.39,2.43,-6.06,6.23,-6.65,-10.92,-16.79,-3.70,1384062,7.22,7.21,33.48,92.79,1442371,11.64
ENE 2015,4525691,-288744,-6.00,-0.66,-6.45,9.71,-7.24,-11.68,-17.55,-4.32,1367795,8.62,8.79,32.14,91.21,1321034,3.91
FEB 2015,4512153,-300333,-6.24,-1.22,-6.67,5.91,-7.31,-12.11,-18.33,-4.21,1226950,12.47,9.80,34.32,90.20,1237206,12.33
MAR 2015,4451939,-343927,-7.17,-1.34,-7.68,-2.66,-7.96,-12.51,-17.94,-5.15,1441775,18.50,10.01,35.64,89.99,1456607,17.67
ABR 2015,4333016,-351285,-7.50,-1.00,-8.08,-6.73,-8.16,-13.38,-19.60,-4.90,1440381,11.10,8.57,35.62,91.43,1467290,10.46
MAY 2015,4215031,-357354,-7.82,-2.38,-8.32,-9.44,-8.26,-13.49,-19.27,-5.13,1573294,7.86,7.92,35.53,92.08,1608996,7.96
JUN 2015,4120304,-329397,-7.40,-3.74,-7.74,-8.17,-7.72,-13.65,-18.62,-4.51,1726117,13.64,7.35,36.90,92.65,1727417,12.95
JUL 2015,4046276,-373584,-8.45,-6.89,-8.60,-9.40,-8.56,-14.27,-18.36,-5.67,1795713,9.15,6.90,37.84,93.10,1784103,8.28
AGO 2015,4067955,-359975,-8.13,-6.88,-8.25,-9.27,-8.19,-14.08,-17.55,-5.36,1248146,9.96,6.43,35.23,93.57,1276714,9.84
SEP 2015,4094042,-353608,-7.95,-7.19,-8.02,-8.75,-7.99,-13.70,-17.61,-5.23,1795742,9.87,8.52,36.80,91.48,1885441,9.01
OCT 2015,4176369,-350435,-7.74,-6.86,-7.82,-9.13,-7.75,-13.64,-16.95,-5.13,1760610,3.43,8.61,38.20,91.39,1805926,3.69
NOV 2015,4149298,-362818,-8.04,-7.45,-8.10,-8.83,-8.06,-13.80,-17.46,-5.47,1604843,15.84,8.28,34.16,91.72,1599044,14.50
DIC 2015,4093508,-354203,-7.96,-7.96,-7.96,-8.70,-7.92,-13.19,-16.54,-5.45,1594915,15.23,6.76,33.04,93.24,1484012,2.89
ENE 2016,4150755,-374936,-8.28,-8.75,-8.24,-13.33,-7.95,-13.15,-16.21,-5.64,1396929,2.13,8.99,31.43,91.01,1424286,7.82
FEB 2016,4152986,-359167,-7.96,-7.13,-8.04,-7.38,-8.07,-12.78,-15.88,-5.96,1377480,12.27,10.12,34.84,89.88,1379794,11.53
MAR 2016,4094770,-357169,-8.02,-8.29,-8.00,-6.27,-8.10,-12.19,-14.96,-6.25,1508881,4.65,9.99,36.27,90.01,1524215,4.64
ABR 2016,4011171,-321845,-7.43,-7.98,-7.37,-4.43,-7.54,-12.04,-14.48,-5.63,1541729,7.04,9.46,36.31,90.54,1555244,5.99
MAY 2016,3891403,-323628,-7.68,-8.09,-7.64,-3.69,-7.85,-11.60,-14.52,-6.12,1748449,11.13,8.34,36.31,91.66,1764947,9.69
JUN 2016,3767054,-353250,-8.57,-7.81,-8.65,-6.83,-8.75,-11.88,-15.49,-7.11,1920340,11.25,7.73,36.67,92.27,1897297,9.83
JUL 2016,3683061,-363215,-8.98,-8.73,-9.00,-7.73,-9.07,-11.90,-15.78,-7.50,1816271,1.14,7.56,38.15,92.44,1818900,1.95
AGO 2016,3697496,-370459,-9.11,-9.36,-9.08,-8.00,-9.14,-11.71,-15.86,-7.60,1451789,16.32,7.24,35.62,92.76,1459348,14.31
SEP 2016,3720297,-373745,-9.13,-9.10,-9.13,-8.58,-9.16,-11.66,-16.23,-7.62,1907000,6.20,8.97,38.03,91.03,1980651,5.05
"OCT 2016,3764982,-411387,-9.85,-8.74,-9.96,-11.69,-9.86,-12.04,-16.93,-8.40,1867360,6.06,8.93,37.86,91.07,""_"",""_"""
