",""IE_4_5.1"",""IE_4_5.2"",""IE_4_5.3"",""IE_4_5.4"",""IE_4_5.5"",""IE_4_5.6"",""IE_4_5.7"",""IE_4_5.8"",""IE_4_5.9"",""IE_4_5.10"",""IE_4_5.11"",""IE_4_5.12"",""IE_4_5.13"",""IE_4_5.14"",""IE_4_5.15"",""IE_4_5.16"",""IE_4_5.17"""
ENE 1999,2251728,-325461,-12.63,-16.65,-11.83,-6.10,-12.04,-14.87,-21.23,-9.02,1058645,6.62,7.79,16.86,92.21,1041114,8.31
FEB 1999,2233082,-320264,-12.54,-16.61,-11.72,-6.16,-11.95,-14.74,-21.87,-8.84,996960,16.30,9.02,17.33,90.98,969549,17.17
MAR 1999,2202337,-321667,-12.74,-16.35,-12.00,-13.47,-11.94,-14.03,-20.81,-9.37,1105024,17.85,10.64,18.10,89.36,1060578,17.43
ABR 1999,2144375,-298428,-12.22,-15.55,-11.53,-13.05,-11.47,-13.99,-21.65,-8.45,1043161,15.38,10.97,18.02,89.03,1006758,15.29
MAY 1999,2076942,-292947,-12.36,-15.39,-11.74,-11.84,-11.73,-13.72,-20.79,-9.16,1129132,21.71,13.07,18.21,86.93,1067093,19.15
JUN 1999,2045950,-286066,-12.27,-15.75,-11.53,-10.19,-11.59,-13.65,-19.73,-9.23,1128750,13.21,8.59,19.11,91.41,1085422,11.93
JUL 1999,1980957,-269058,-11.96,-16.69,-10.96,-10.20,-10.99,-13.72,-17.66,-8.70,1163141,5.93,7.54,19.60,92.46,1130787,5.48
AGO 1999,1980966,-254330,-11.38,-17.64,-10.10,-10.61,-10.08,-12.85,-15.17,-8.01,930179,19.25,7.03,18.65,92.97,912546,17.81
SEP 1999,2002552,-253776,-11.25,-17.30,-9.99,-11.15,-9.94,-13.29,-14.88,-7.86,1199816,14.76,8.31,19.38,91.69,1172384,14.39
OCT 1999,2019968,-247957,-10.93,-17.54,-9.57,-12.51,-9.45,-12.82,-13.52,-7.61,1231914,4.49,8.86,21.87,91.14,1204619,4.25
NOV 1999,2055809,-214431,-9.45,-15.97,-8.12,-12.05,-7.95,-12.32,-11.68,-5.93,1169237,10.82,9.12,19.81,90.88,1137901,10.07
DIC 1999,2027982,-205277,-9.19,-15.38,-8.00,-13.66,-7.77,-11.66,-11.76,-5.71,1079368,21.40,9.34,18.45,90.66,1044581,19.70
ENE 2000,2090035,-161693,-7.18,-13.52,-5.99,-8.74,-5.87,-10.58,-9.61,-3.68,1128082,6.56,7.32,16.69,92.68,1113168,6.92
FEB 2000,2079752,-153330,-6.87,-12.57,-5.77,-11.13,-5.54,-10.83,-8.42,-3.39,1114034,11.74,10.27,17.31,89.73,1093567,12.79
MAR 2000,2042332,-160005,-7.27,-12.43,-6.26,-11.51,-6.03,-11.70,-8.81,-3.77,1204229,8.98,9.77,17.63,90.23,1180390,11.30
