",""IE_9_4.1"",""IE_9_4.2"",""IE_9_4.3"",""IE_9_4.4"",""IE_9_4.5"",""IE_9_4.6"",""IE_9_4.7"",""IE_9_4.8"",""IE_9_4.9"",""IE_9_4.10"",""IE_9_4.11"",""IE_9_4.12"",""IE_9_4.13"",""IE_9_4.14"""
NÚMERO SECUENCIAL,2533931,2533930,2628713,2533932,2533929,2533959,2534002,2628712,2533967,2533872,2533871,2534006,2535772,2533873
"DESCRIPCIÓN DE LA SERIE,""Competitividad de España. IPP  . Frente a UE28 (UEM19)."",""Competitividad de España. IPC  . Frente a UE28 (UEM19)."",""Competitividad de España. Costes totales. Frente a ue28. mensual (UEM19)"",""Competitividad de España . IPX  . Frente a UE28 (UEM19)."",""Índice de posición efectiva nominal de España. Frente a UE28 (UEM19)"",""Competitividad de España.IPP relativo. Frente a ue28 (UEM19)."",""Competitividad de España.IPC relativo. Frente a ue28 (UEM19)."",""Competitividad de España.Costes laborales relativos unitarios totales.ue28.mensual (UEM19)"",""Competitividad de España .IPX relativo. Frente a ue28 (UEM19)."",""Competitividad de España  IPP  . Frente a UM19."",""Competitividad de España  IPC  . Frente a UM19."",""Competitividad de España. Costes totales. Frente a UM19. mensual."",""Competitividad de España. Costes manufacturas. Frente a UM19. mensual."",""Competitividad de España  IPX  . Frente a UM19."""
"DESCRIPCIÓN DE LAS UNIDADES,""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"""
"AGO 2008,108.18,108.96,""_"",105.17,100.41,107.74,108.51,""_"",105.10,108.78,109.91,""_"",""_"",106.85"
SEP 2008,108.04,108.89,115.61,104.18,100.62,107.37,108.22,115.08,103.90,108.47,109.66,118.31,124.51,105.78
"OCT 2008,107.94,109.56,""_"",103.85,100.82,107.07,108.68,""_"",103.37,108.26,110.14,""_"",""_"",105.26"
"NOV 2008,107.64,110.28,""_"",103.67,101.46,106.09,108.69,""_"",102.54,107.39,110.21,""_"",""_"",104.74"
DIC 2008,108.04,111.01,114.86,103.19,102.49,105.41,108.31,113.08,101.03,106.75,109.79,116.32,118.44,103.88
"ENE 2009,109.19,110.75,""_"",102.76,102.94,106.07,107.59,""_"",100.18,107.58,109.18,""_"",""_"",103.49"
"FEB 2009,109.50,110.25,""_"",102.29,103.06,106.25,106.98,""_"",99.60,107.90,108.59,""_"",""_"",103.19"
MAR 2009,109.61,110.40,114.70,102.83,103.35,106.05,106.82,111.24,99.85,107.77,108.45,114.11,114.37,103.59
"ABR 2009,109.39,110.74,""_"",102.76,102.93,106.28,107.59,""_"",100.19,107.99,109.23,""_"",""_"",103.80"
"MAY 2009,109.07,110.31,""_"",102.28,102.67,106.23,107.44,""_"",99.97,107.90,109.16,""_"",""_"",103.37"
JUN 2009,109.06,110.47,114.50,101.14,102.50,106.40,107.78,111.49,99.03,108.05,109.52,114.63,114.98,102.26
"JUL 2009,108.91,110.00,""_"",102.99,102.34,106.43,107.49,""_"",100.99,108.05,109.36,""_"",""_"",104.15"
"AGO 2009,109.13,109.81,""_"",102.62,102.14,106.84,107.51,""_"",100.82,108.40,109.33,""_"",""_"",103.90"
SEP 2009,109.27,109.87,114.46,104.43,102.41,106.70,107.28,111.89,102.33,108.31,109.11,115.06,115.82,105.54
"OCT 2009,109.48,110.85,""_"",103.24,102.71,106.59,107.93,""_"",100.87,108.21,109.77,""_"",""_"",104.35"
"NOV 2009,108.98,111.17,""_"",103.59,102.55,106.27,108.41,""_"",101.38,107.90,110.30,""_"",""_"",104.92"
DIC 2009,108.87,110.82,114.23,102.18,102.57,106.14,108.04,111.33,99.96,107.79,109.91,114.63,116.36,103.51
"ENE 2010,108.87,109.50,""_"",102.77,102.31,106.41,107.03,""_"",100.81,108.03,109.06,""_"",""_"",104.42"
"FEB 2010,108.79,108.54,""_"",102.87,102.17,106.48,106.24,""_"",101.05,108.06,108.24,""_"",""_"",104.48"
MAR 2010,109.27,110.36,112.67,103.26,102.23,106.89,107.95,110.21,101.37,108.50,109.91,113.55,121.22,104.94
"ABR 2010,109.63,110.49,""_"",101.77,101.95,107.53,108.37,""_"",100.18,109.18,110.37,""_"",""_"",103.57"
"MAY 2010,109.49,110.37,""_"",103.23,101.97,107.38,108.24,""_"",101.60,109.08,110.26,""_"",""_"",105.06"
JUN 2010,108.99,110.25,112.69,103.93,101.73,107.14,108.37,110.61,102.53,108.82,110.41,113.98,122.23,105.91
"JUL 2010,108.50,109.36,""_"",103.31,101.77,106.62,107.46,""_"",101.88,108.32,109.54,""_"",""_"",105.19"
"AGO 2010,108.60,109.07,""_"",103.35,101.54,106.96,107.42,""_"",102.15,108.64,109.48,""_"",""_"",105.26"
SEP 2010,108.81,110.01,111.54,102.88,101.64,107.06,108.24,109.73,101.58,108.71,110.33,113.17,122.65,104.71
"OCT 2010,108.93,110.57,""_"",103.52,101.95,106.84,108.45,""_"",101.89,108.50,110.53,""_"",""_"",105.16"
"NOV 2010,109.04,110.65,""_"",102.65,101.78,107.14,108.72,""_"",101.22,108.83,110.84,""_"",""_"",104.44"
DIC 2010,109.51,110.53,111.61,102.03,101.73,107.65,108.65,109.62,100.66,109.39,110.80,113.02,122.96,103.90
"ENE 2011,109.62,109.33,""_"",103.03,101.56,107.93,107.65,""_"",101.81,109.64,109.93,""_"",""_"",105.15"
"FEB 2011,109.88,108.73,""_"",102.80,101.52,108.23,107.10,""_"",101.63,109.93,109.36,""_"",""_"",104.63"
MAR 2011,110.11,110.52,110.84,102.79,101.78,108.19,108.59,109.07,101.36,109.97,110.76,112.50,122.02,104.52
"ABR 2011,110.15,111.04,""_"",103.29,101.88,108.12,108.99,""_"",101.75,109.92,111.23,""_"",""_"",105.13"
"MAY 2011,109.88,110.78,""_"",102.40,101.83,107.90,108.79,""_"",100.92,109.73,111.07,""_"",""_"",104.28"
JUN 2011,110.13,110.76,111.02,102.65,101.98,108.00,108.61,108.95,101.02,109.86,110.85,112.25,124.29,104.44
"JUL 2011,110.25,109.81,""_"",103.16,101.98,108.10,107.67,""_"",101.52,109.98,109.94,""_"",""_"",105.00"
"AGO 2011,109.98,109.50,""_"",102.94,102.00,107.82,107.35,""_"",101.28,109.72,109.60,""_"",""_"",104.78"
SEP 2011,110.07,110.47,110.23,102.59,102.15,107.76,108.14,108.03,100.80,109.73,110.40,111.25,124.18,104.53
"OCT 2011,110.11,110.66,""_"",102.19,102.22,107.72,108.27,""_"",100.34,109.75,110.50,""_"",""_"",104.03"
"NOV 2011,110.05,110.82,""_"",102.45,102.24,107.65,108.40,""_"",100.57,109.75,110.67,""_"",""_"",104.27"
DIC 2011,109.81,110.28,109.54,101.19,102.08,107.57,108.03,107.21,99.49,109.66,110.30,110.42,122.60,103.13
